i,E_avg,S_critical,k,f,R_squared
29,0.00015048439686104657,0.7999999998229292,3.2688246219316253,1.5,0.9970341201414518
30,0.00013051271658584256,0.7999999960823251,3.844575154723983,1.5,0.9968341698687445
31,0.0001305176739502916,0.7999999946882962,2.975667367661063,1.5,0.9882718908076014
32,0.00011925757998855763,0.7999999998173427,4.564280523022329,1.5,0.9861538267727418
33,0.00011906963801951046,0.7999999997113514,4.481881488526791,1.5,0.9883906213272673
34,7.785897480296483e-05,0.7999999990836738,5.5837368408679895,1.5,0.986204089150434
35,0.00011458404916144983,0.7999999992970561,4.741353406329462,1.5,0.9883351091403394
36,8.970174186156624e-05,0.7999999999999806,10.604392480774846,1.5,0.983980267661625
37,8.607933292778427e-05,0.7999999999527232,7.823573516451646,1.5,0.9815948541386081
38,0.00013093622732126826,0.7999999994569565,3.7335364432145575,1.5,0.9899986768072007
39,8.03258997529064e-05,0.7999999994033007,5.14336435975192,1.5,0.9869508039499768
40,9.961293657655333e-05,0.7999999999640152,4.975654770638133,1.5,0.9891449710562309
41,0.00013606363636306342,0.7999999967091008,2.932212347282117,1.5,0.995030449831952
42,0.00013548761846340985,0.799999999996597,4.612540384239891,1.5,0.9949346903232476
43,0.0001173224458825724,0.799999999870037,4.234150015303036,1.5,0.994590907196516
44,0.00011816392027558703,0.799999999841952,6.334001659971588,1.5,0.9948605323840107
45,0.0001036746587379143,0.7999999999637174,6.222342561247807,1.5,0.9897047060180992
46,8.087718808465347e-05,0.799999999954697,7.56496986900882,1.5,0.9868518347492228
47,0.00014619547736207083,0.7999999995857786,3.5397216264194618,1.5,0.9950462619736945
48,8.269991969620828e-05,0.7999999994970973,6.632817402561869,1.5,0.9754180461688209
49,0.00015673370320904594,0.7999999999540738,3.8923110333963673,1.5,0.9988403376036322
50,8.492061747358673e-05,0.7999999983369415,4.893441039495494,1.5,0.9820095357592381
51,0.00013030435461754188,0.7999999999123043,3.101246140486352,1.5,0.9932784935448314
52,0.00011695708827000647,0.7999999993674609,4.803593465730883,1.5,0.9886911571303927
53,0.00013821558459528466,0.7999999973990122,3.1759000069304464,1.5,0.9921713127531246
54,6.676643519697518e-05,0.7999999995756228,5.741101150813942,1.5,0.9709286469701469
55,0.00016907603255722313,0.7999999983044599,3.1491335364420014,1.5,0.9976117670299576
56,8.747004493584384e-05,0.7999999998609761,7.944770273072247,1.5,0.973741099545945
57,0.00012867308379948134,0.7999999986094571,3.8282559310129054,1.5,0.9910833291148119
58,0.00012768523270704466,0.7999999997337327,4.2180132831654,1.5,0.9964009890723657
59,8.989004679848511e-05,0.7999999999906166,6.629848005590003,1.5,0.9937288152242149
60,0.00014707164125924314,0.7999999999950681,4.126862340173312,1.5,0.9943503037417047
61,9.52827445895107e-05,0.7999999997944823,3.899652902670172,1.5,0.9741973220060075
62,9.123868893080316e-05,0.7999999996760487,4.650048357256468,1.5,0.9896132335210327
63,9.983364590069934e-05,0.7999999999234936,4.342352627101957,1.5,0.9865955298711602
64,7.546792377483424e-05,0.7999999999973949,7.646318970940225,1.5,0.9632153437550478
65,9.031488467019069e-05,0.799999999964967,4.928605619255129,1.5,0.9808565231067045
